original_sentence,sentence,missing_words,translated_sentence,Eng_Difficulty_Label,Topic_Label
"Regular physical activity, such as walking or cycling, is not only beneficial for weight management but also for improving cardiovascular health.","Regular ___, such as ___ or cycling, is not only beneficial for weight management but also for improving ___.","cardiovascular health, physical activity, walking",النشاط البدني المنتظم، مثل المشي أو ركوب الدراجات، مفيد ليس فقط لإدارة الوزن ولكن أيضًا لتحسين صحة القلب والأوعية الدموية.,Medium,Health
كان نجيب محفوظ أول كاتب عربي يفوز بجائزة نوبل في الأدب.,كان نجيب محفوظ أول ___ عربي ___ بجائزة نوبل في الأدب.,"يفوز, كاتب",Naguib Mahfouz was the first Arabic writer to win the Nobel Prize in Literature.,Medium,Litrature
"On 16 April, the Afghan-Japan Hospital in Kabul stopped accepting samples for COVID-19 testing for two days, due to a surge in requests, despite having the capacity to test 300 samples a day.","On 16 April, the ___ in Kabul stopped accepting ___ for COVID-19 testing for two days, due to a surge in requests, despite having the ___ to test 300 samples a day.","capacity, samples, Afghan-Japan Hospital",توقف المستشفى الأفغاني الياباني في كابول عن قبول عينات لاختبارCOVID-19 لمدة يومين ، بسبب زيادة الطلبات، على الرغم من قدرته على اختبار 300 عينة في اليوم.,Medium,Health
موضوعات الحب والفقدان عالمية في الأدب، تتجاوز حواجز اللغة.,___ ___ والفقدان عالمية في الأدب، تتجاوز ___ اللغة.,"الحب, موضوعات, حواجز","The themes of love and loss are universal in literature, transcending language barriers.",Medium,Litrature
"As of October 5, 2010 at least 400 children have died from the effects of lead poisoning.","As of October 5, 2010 at least 400 children have died from the ___ of ___.","lead poisoning, effects",واعتبارًا من 5 أكتوبر 2010، توفي ما لا يقل عن 400 طفل من آثار التسمم بالرصاص.,Medium,Health
العناية بصحتك النفسية من خلال التحدث مع معالج أو مستشار يمكن أن يوفر دعمًا قيمًا لإدارة التوتر والاكتئاب والقلق.,العناية بصحتك ___ من خلال ___ مع معالج أو مستشار يمكن أن يوفر دعمًا قيمًا ___ التوتر والاكتئاب والقلق.,"التحدث, لإدارة, النفسية","Taking care of your mental health by talking to a therapist or counselor can provide valuable support for managing stress, depression, and anxiety.",Medium,Health
يمكن أن يؤدي استهلاك الكحول المفرط إلى تلف الكبد وزيادة خطر الإصابة بأمراض القلب وتدهور الوظائف الإدراكية مع مرور الوقت.,يمكن أن يؤدي استهلاك الكحول ___ إلى تلف الكبد وزيادة خطر الإصابة بأمراض ___ وتدهور ___ الإدراكية مع مرور الوقت.,"المفرط, القلب, الوظائف","Excessive alcohol consumption can lead to liver damage, increase the risk of heart disease, and impair cognitive function over time.",Medium,Health
The court issued a subpoena compelling the witness to testify.,The court issued a ___ compelling the ___ to ___.,"testify, witness, subpoena",أصدرت المحكمة أمر استدعاء يلزم الشاهد بالإدلاء بشهادته.,Medium,Legal
Literary awards can bring attention to previously overlooked authors and works.,Literary ___ can bring ___ to previously overlooked ___ and works.,"attention, authors, awards",يمكن للجوائز الأدبية أن تسلط الضوء على مؤلفين وأعمال كانت مهملة سابقًا.,Medium,Litrature
وهو خلال ذلك الشريط الأزرق الرقيق الذي أوشكت على الذهاب إليه، إلى قمة الطقس.,وهو خلال ذلك الشريط ___ الرقيق ___ ___ على الذهاب إليه، إلى قمة الطقس.,"الأزرق, الذي, أوشكت","And it's through that thin blue streak that I'm about to go, to the very top of the weather.",Medium,Subtitle
"I'm Donal MacIntyre, and I'm going to journey around the world to seek out the wildest weather there is.","I'm Donal MacIntyre, and I'm going to journey around the world to seek out the ___ ___ there is.",wildest weather,أنا دونال ماكلنتاير، وسأسافر حول العالم للبحث عن الطقس الأكثر وحشية هناك.,Medium,Subtitle
ينظم القانون الإداري تصرفات الوكالات الحكومية ويضمن المساءلة.,ينظم ___ ___ ___ الوكالات الحكومية ويضمن المساءلة.,"القانون, تصرفات, الإداري",Administrative law governs the actions of government agencies and ensures accountability.,Medium,Legal
Criminal justice systems aim to rehabilitate offenders while protecting society.,Criminal ___ aim to ___ ___ while protecting society.,"rehabilitate, offenders, justice systems",تهدف أنظمة العدالة الجنائية إلى إعادة تأهيل الجناة مع حماية المجتمع.,Medium,Legal
Literary critics analyze texts to uncover deeper meanings and societal implications.,Literary ___ analyze texts to uncover deeper meanings and ___.,"societal implications, critics",يحلل النقاد الأدبيون النصوص لكشف المعاني الأعمق والتأثيرات المجتمعية.,Medium,Litrature
Regular physical activity can lower the risk of chronic diseases.,Regular ___ can lower the risk of ___.,"chronic diseases, physical activity",النشاط البدني المنتظم يمكن أن يقلل من خطر الأمراض المزمنة.,Medium,Health
Themes of exile and belonging are central to much of modern Arabic poetry and prose.,Themes of exile and ___ are central to much of modern Arabic poetry and prose.,"modern poetry, belonging",موضوعات المنفى والانتماء هي محور العديد من أشعار ونثر الأدب العربي الحديث.,Medium,Litrature
"Poor sleep hygiene, such as inconsistent sleep schedules or excessive screen time before bed, can negatively affect both your sleep quality and mental health.","Poor ___, such as inconsistent sleep ___ or excessive screen time before bed, can negatively affect both your sleep quality and ___.","sleep hygiene, schedules, mental health",يمكن أن تؤثر عادات النوم السيئة، مثل جداول النوم غير المنتظمة أو استخدام الأجهزة الإلكترونية بشكل مفرط قبل النوم، سلبًا على جودة نومك وصحتك النفسية.,Medium,Health
And that's because this... is the doldrums.,And that's because this... is the ___.,Doldrums,وذلك لأن هذا... هو الكساد.,Medium,Subtitle
The economy is facing challenges due to global trade tensions.,The economy is facing challenges due to global trade ___.,tensions,يواجه الاقتصاد تحديات بسبب التوترات التجارية العالمية.,Medium,EcoFinancial
تم تأييد إدانة المتهم من قبل محكمة الاستئناف.,تم ___ إدانة ___ من قبل ___ الاستئناف.,"تأييد, محكمة, المتهم",The defendant's conviction was upheld by the appellate court.,Medium,Legal
الفحوصات الوقائية، مثل الماموغرام والتنظير القولوني، يمكن أن تساعد في الكشف عن العلامات المبكرة للسرطان، مما يؤدي إلى علاج أكثر فعالية ونتائج أفضل.,الفحوصات الوقائية، مثل ___ ___ القولوني، ___ أن تساعد في الكشف عن العلامات المبكرة للسرطان، مما يؤدي إلى علاج أكثر فعالية ونتائج أفضل.,"يمكن, الماموغرام, والتنظير","Preventive screenings, such as mammograms and colonoscopies, can help detect early signs of cancer, leading to more effective treatment and better outcomes.",Medium,Health
The judge instructed the jury to disregard the inadmissible testimony.,The judge instructed the jury to disregard the inadmissible ___.,testimony,وجه القاضي هيئة المحلفين بتجاهل الشهادة غير المقبولة.,Medium,Legal
The right to privacy is safeguarded by laws against unauthorized surveillance.,The right to ___ is ___ by laws against ___.,"safeguarded, privacy, unauthorized surveillance",يتم حماية الحق في الخصوصية من خلال القوانين التي تحظر المراقبة غير المصرح بها.,Medium,Legal
تتيح الرواية للكتاب معالجة القضايا الواقعية من خلال السرد الخيالي.,___ الرواية للكتاب ___ القضايا الواقعية من خلال السرد ___,"معالجة, تتيح, الخيالي.",Fiction allows writers to address real-life issues through imaginative narratives.,Medium,Litrature
تنويع الاستثمارات يمكن أن يقلل من المخاطر المالية.,___ ___ ___ أن يقلل من المخاطر المالية.,"تنويع, الاستثمارات, يمكن",Diversifying investments can reduce financial risk.,Medium,EcoFinancial
يساعدنا قراءة الأدب التاريخي على فهم كيف رأت المجتمعات السابقة العالم من حولها.,يساعدنا ___ الأدب ___ على فهم كيف رأت المجتمعات السابقة ___ من حولها.,"العالم, قراءة, التاريخي",Reading historical literature helps us understand how past societies viewed the world around them.,Medium,Litrature
كل الرطوبة في الهواء قد جفت.,كل ___ في ___ قد ___,"الرطوبة, الهواء, جفت.",All the moisture in the air has dried out.,Medium,Subtitle
Modern Arabic literature often addresses social and political issues.,___ ___ literature often addresses ___ and political issues.,"social, modern arabic",يتناول الأدب العربي الحديث غالبًا القضايا الاجتماعية والسياسية.,Medium,Litrature
سأخذ جولة إلى القلب البارد للشتاء.,___ ___ إلى ___ البارد للشتاء.,"القلب, سأخذ, جولة",I'm going to take a ride into the cold heart of winter.,Medium,Subtitle
يظهر الاقتصاد علامات على التعافي بعد الركود.,___ الاقتصاد علامات على ___ بعد ___,"الركود., يظهر, التعافي",The economy is showing signs of recovery after the recession.,Medium,EcoFinancial
Getting a flu shot every year can significantly reduce the risk of getting sick.,Getting a ___ every year can ___ ___ the risk of getting sick.,"flu shot, reduce, significantly",الحصول على لقاح الإنفلونزا كل عام يمكن أن يقلل بشكل كبير من خطر الإصابة بالمرض.,Medium,Health
تناول مجموعة متنوعة من الأطعمة الغنية بالعناصر الغذائية، مثل الخضروات والبقوليات والبروتينات الخالية من الدهون، يمكن أن يساعد في تقوية جهاز المناعة والوقاية من الأمراض.,___ مجموعة متنوعة من الأطعمة الغنية بالعناصر الغذائية، مثل ___ والبقوليات والبروتينات الخالية من الدهون، يمكن أن يساعد في تقوية جهاز المناعة والوقاية من ___,"تناول, الأمراض., الخضروات","Eating a variety of nutrient-dense foods, such as vegetables, legumes, and lean proteins, can help strengthen the immune system and prevent illness.",Medium,Health
