Sentence,Translation,Question,Correct_Answer,Eng_Difficulty_Label,Topic_Label
The narrative techniques employed in contemporary Arabic literature often challenge traditional storytelling methods.,التقنيات السردية المستخدمة في الأدب العربي المعاصر غالبًا ما تتحدى طرق السرد التقليدية.,What do contemporary Arabic writers tend to do with traditional ways of storytelling?,challenge them,Medium,Litrature
"It is essential to manage stress through relaxation techniques, such as meditation and deep breathing exercises, to improve overall well-being.",من الضروري إدارة التوتر من خلال تقنيات الاسترخاء مثل التأمل وتمارين التنفس العميق لتحسين رفاهيتك العامة.,What specific methods are recommended to help improve overall well-being by managing stress?,meditation and deep breathing exercises,Medium,Health
Economic sanctions can impact a country's financial system.,العقوبات الاقتصادية يمكن أن تؤثر على النظام المالي لدولة ما.,What aspect of a country can be negatively affected by economic sanctions?,a country's financial system,Medium,EcoFinancial
The financial institution is offering new loan products to attract more customers.,تقدم المؤسسة المالية منتجات قروض جديدة لجذب المزيد من العملاء.,What is the financial institution offering to entice more customers?,new loan products,Medium,EcoFinancial
The defendant was sentenced to ten years in prison for the crime.,حُكم على المتهم بالسجن لمدة عشر سنوات للجريمة.,How long did the defendant get sentenced to prison?,ten years,Medium,Legal
The defense attorney filed a motion to suppress the evidence.,قدم محامي الدفاع طلبًا لاستبعاد الأدلة.,What type of legal request did the defense attorney submit to the court?,a motion to suppress the evidence,Medium,Legal
The Committee must have sufficient time to review the documents fully in order to provide high-quality reports to the General Assembly.,وينبغي أن يتوفر لدى اللجنة الوقت الكافي لاستعراض الوثائق بشكل كامل، من أجل تقديم تقارير جيدة النوعية للجمعية العامة.,Why does the Committee need sufficient time to review the documents?,to provide high-quality reports to the General Assembly,Medium,Legal
The jury deliberated for several hours before reaching a verdict.,تداولت هيئة المحلفين لعدة ساعات قبل التوصل إلى حكم.,What action did the jury engage in before deciding on a verdict?,deliberated for several hours,Medium,Legal
We can't predict it and we can't control it.,نحن لا نستطيع توقّعه ونحن لا نستطيع السيطرة عليه.,What is the main idea in this sentence?,it can't be predicted or controlled,Medium,Subtitle
"This is...""Wild Weather""!","هذا هو... ""الطقس القاسي""!",What title is being introduced by this statement?,Wild Weather,Medium,Subtitle
The awesome cycle of water around the planet.,الدورة الرهيبة للماء حول الكوكب.,What specific natural process is described as awesome?,the cycle of water,Medium,Subtitle
Warm air rises from the equator and hits the tropopause.,يرتفع الهواء الدافئ من خط الاستواء ويصطدم بالتروبوبوز.,What happens to warm air after it rises from the equator?,hits the tropopause,Medium,Subtitle
The company is focusing on reducing costs to improve profitability.,تركز الشركة على تقليل التكاليف لتحسين الربحية.,What specific business strategy is the company employing to increase profitability?,reducing costs,Medium,EcoFinancial
The court issued an injunction to prevent the defendant from selling the property.,أصدرت المحكمة أمرًا زجريًا لمنع المتهم من بيع العقار.,What type of legal order was issued by the court to restrict the defendant's actions?,an injunction,Medium,Legal
The stock market experienced significant volatility last week.,شهد سوق الأسهم تقلبات كبيرة الأسبوع الماضي.,What was the key characteristic of the stock market behavior last week?,"The key characteristic of the stock market behavior last week was significant volatility, indicating frequent or large fluctuations in stock prices.",Medium,EcoFinancial
"Practicing yoga or other mindfulness-based exercises can help reduce chronic pain, improve flexibility, and promote mental well-being.",ممارسة اليوغا أو التمارين القائمة على اليقظة يمكن أن تساعد في تقليل الألم المزمن، وتحسين المرونة، وتعزيز الصحة النفسية.,"What specific practices are recommended to help with chronic pain, flexibility, and mental well-being?",yoga or other mindfulness-based exercises,Medium,Health
The rise in unemployment has led to a decrease in consumer confidence.,أدى ارتفاع معدل البطالة إلى انخفاض ثقة المستهلكين.,What specific economic issue has caused a decline in consumer confidence?,a rise in unemployment,Medium,EcoFinancial
This rising air is the first movement of a massive global wind cycle which will take it right across the world.,هذا الهواء المتصاعد هو الحركة الأولى لدورة رياح عالمية ضخمة تأخذه عبر العالم.,What specific phenomenon starts the global wind cycle?,rising air,Medium,Subtitle
Electoral commissions oversee the fairness and transparency of voting processes.,تشرف اللجان الانتخابية على نزاهة وشفافية عمليات التصويت.,What specific aspects of voting are ensured by electoral commissions?,fairness and transparency,Medium,Legal
The rise of digital publishing has made literature more accessible to global audiences.,أدى صعود النشر الرقمي إلى جعل الأدب أكثر وصولًا للجمهور العالمي.,What technological advancement has broadened access to literature worldwide?,digital publishing,Medium,Litrature
The country’s foreign exchange reserves have been steadily increasing.,ارتفعت احتياطيات البلاد من العملات الأجنبية بشكل مستمر.,What has been steadily increasing in the country?,foreign exchange reserves,Medium,EcoFinancial
Engaging in social activities and building a strong support network can improve mental health and provide emotional relief during difficult times.,المشاركة في الأنشطة الاجتماعية وبناء شبكة دعم قوية يمكن أن يحسن الصحة النفسية ويوفر الراحة العاطفية خلال الأوقات الصعبة.,What kind of actions are helpful to improve mental health and provide emotional support during challenging periods?,Engaging in social activities and building a strong support network,Medium,Health
Constitutional amendments require approval from both legislative houses and a public referendum.,تتطلب التعديلات الدستورية موافقة كلا المجلسين التشريعيين واستفتاءً عامًا.,What specific steps are necessary for constitutional changes to be approved?,approval from both legislative houses and a public referendum,Medium,Legal
